url	first_seen	portal	title	company	status
https://www.mycareersfuture.gov.sg/job/information-technology/ai-machine-learning-engineer-graduate-2026-start-bytedance-59a3671c968e73d69c9f0f6ff8cf498a	2026-04-17	mycareersfuture.gov.sg	AI Machine Learning Engineer Graduate — Search (2026 Start)	ByteDance	added
https://www.mycareersfuture.gov.sg/job/information-technology/machine-learning-engineer-graduate-2026-start-tiktok-9c7f28f52ff2e82266099d1bb816fee0	2026-04-17	mycareersfuture.gov.sg	Machine Learning Engineer Graduate (TikTok Shop, 2026 Start)	TikTok	added
https://jobs.bytedance.com/en/position/detail/7515484126905174280	2026-04-17	jobs.bytedance.com	Research Scientist — Generative AI for Science	ByteDance	added
https://jobs.bytedance.com/en/mobile/position/detail/7325706453058603301	2026-04-17	jobs.bytedance.com	Researcher — Large Language Models, Applied ML	ByteDance	added
https://nodeflair.com/jobs/boston-consulting-group-senior-lead-ai-engineer-bcg-x-singapore-411133	2026-04-17	nodeflair.com	Senior/Lead AI Engineer (BCG X Singapore)	BCG X	added
https://www.nodeflair.com/jobs/goldman-sachs-machine-learning-engineer-singapore-56953	2026-04-17	nodeflair.com	Machine Learning Engineer	Goldman Sachs	added
https://kube.careers/machine-learning-engineer-ensign-infosecurity-ht1	2026-04-17	kube.careers	Machine Learning Engineer	Ensign InfoSecurity	added
https://www.mycareersfuture.gov.sg/job/information-technology/security-engineer-ensign-infosecurity-7e1e79d72ce243d44fcf2d5b59764582	2026-04-17	mycareersfuture.gov.sg	Security Engineer	Ensign InfoSecurity	added
https://jobs.careers.gov.sg/jobs/hrp/15719225/19778bb1-2026-1fd0-89b5-25b562f5d3a4	2026-04-17	careers.gov.sg	Software Engineer (Intelligence Analysis Applications Development)	DSTA	added
https://www.nodeflair.com/jobs/jpmorgan-chase-co-site-reliability-engineer-ai-machine-learning-singapore-52416	2026-04-17	nodeflair.com	Site Reliability Engineer, AI/Machine Learning	JP Morgan	added
https://jobs.bytedance.com/en/mobile/position/detail/7535156966491146503	2026-04-17	jobs.bytedance.com	Machine Learning Engineer Intern (E-commerce Supply Chain)	ByteDance	skipped_title
https://career.sea.com/position/J02092107	2026-04-17	career.sea.com	Intern, Data Analyst	Sea	skipped_title
https://careers.google.com/jobs/results/99537804337259206-director-of-engineering/	2026-04-17	careers.google.com	Director of Engineering, AI and Computing Infrastructure	Google Singapore	skipped_title
https://www.mycareersfuture.gov.sg/job/information-technology/ai-machine-learning-engineer-graduate-2026-start-tiktok-ca8643230c56735610c2c945d390b4ee	2026-04-19	mycareersfuture.gov.sg	AI Machine Learning Engineer Graduate (TikTok Search)	TikTok	added
https://www.mycareersfuture.gov.sg/job/engineering/machine-learning-engineer-graphene-services-1f2dedd3fd446af8a18a9ab3a6eb87ea	2026-04-19	mycareersfuture.gov.sg	Machine Learning Engineer	Graphene Services	added
https://www.mycareersfuture.gov.sg/job/information-technology/machine-learning-engineer-ai-search-bytedance-0e23222b7094a1dbab23f703eff7557f	2026-04-19	mycareersfuture.gov.sg	Machine Learning Engineer, AI Search	ByteDance	added
https://www.mycareersfuture.gov.sg/job/information-technology/ai-security-engineer-gk-consulting-bf80280ae4f0c9c0addd7511e9969a25	2026-04-19	mycareersfuture.gov.sg	AI Security Engineer (Agent & LLM Security)	GK Consulting	added
https://www.mycareersfuture.gov.sg/job/llm-engineer-ai-engineer-aikonic-future-technology-edaafd301ba3c3d5bb6c026d38028ac3	2026-04-19	mycareersfuture.gov.sg	LLM Engineer / AI Engineer	AiKonic Future Technology	added
https://www.mycareersfuture.gov.sg/job/information-technology/ai-security-specialist-persolkelly-singapore-72ce82bba4d6747c13a5c684dc728be6	2026-04-19	mycareersfuture.gov.sg	AI Security Specialist	PersolKelly	added
https://www.mycareersfuture.gov.sg/job/sciences/software-engineer-national-cybersecurity-research-development-lab-national-university-singapore-1ae3d1afd4937331f6b65dec5d4b428e	2026-04-19	mycareersfuture.gov.sg	Software Engineer, National Cybersecurity R&D Lab	NUS	added
https://www.mycareersfuture.gov.sg/job/associate-cyber-security-engineer-technology-services-dbs-bank-003ae7f8322eddcd5c55293166214209	2026-04-19	mycareersfuture.gov.sg	Associate, Cyber Security Engineer	DBS Bank	added
https://www.mycareersfuture.gov.sg/job/information-technology-cyber-security-engineer-singapore-airlines-b0c9cad5cddb0eec06e52871bf26fc4f	2026-04-19	mycareersfuture.gov.sg	Cyber Security Engineer	Singapore Airlines	added
https://job-boards.greenhouse.io/temus/jobs/5180775008	2026-04-19	job-boards.greenhouse.io	Senior AI Engineer	Temus	added
https://job-boards.greenhouse.io/temus/jobs/5180599008	2026-04-19	job-boards.greenhouse.io	AI Engineer	Temus	added
https://job-boards.greenhouse.io/OKX/jobs/6690158003	2026-04-19	job-boards.greenhouse.io	Principal AI Engineer, AI Agent Development	OKX	added
https://job-boards.greenhouse.io/simplifynext/jobs/4996764007	2026-04-19	job-boards.greenhouse.io	AI Engineer	SimplifyNext	added
https://job-boards.greenhouse.io/diligentcorporation/jobs/5543875004	2026-04-19	job-boards.greenhouse.io	AI Engineer II	Diligent Corporation	added
https://jobs.lever.co/palantir/2aa14e4f-d406-486e-9aa8-6ff3358d70a0	2026-04-19	jobs.lever.co	Forward Deployed Software Engineer, New Grad - Commercial	Palantir	added
